"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
14, 9.381533265000001e-01, -2.409642785000000e-01, 9.011899805877732e-01, -6.240010910303605e-01, -1.963995025240822e-02, -3.571179877742528e-02, -0.000000000000000e+00
3466, 9.342719161712294e-01, -2.478061799571768e-01, 9.010976674905908e-01, -6.279907794729445e-01, -1.997176867706595e-02, -3.508807075859994e-02, -0.000000000000000e+00
15, 9.303709865000001e-01, -2.546369432000000e-01, 9.010013705971578e-01, -6.321526439809407e-01, -2.057742832226947e-02, -3.477850138789687e-02, -0.000000000000000e+00
4523, 9.262607925310999e-01, -2.613460096323619e-01, 9.009057148247500e-01, -6.362867998189552e-01, -2.072671804775715e-02, -3.390833251303812e-02, -0.000000000000000e+00
16, 9.221640229000000e-01, -2.680633067000000e-01, 9.008056917545890e-01, -6.406097063099448e-01, -2.126667463860932e-02, -3.349206288265547e-02, -0.000000000000000e+00
5081, 9.178261474021030e-01, -2.746294058310508e-01, 9.007065227628410e-01, -6.448957003055532e-01, -2.120552421708317e-02, -3.237586485882453e-02, -0.000000000000000e+00
17, 9.135403036999999e-01, -2.812297045000000e-01, 9.006028337013673e-01, -6.493770476204072e-01, -2.167283792047767e-02, -3.186921926396225e-02, -0.000000000000000e+00
4254, 9.089766148705223e-01, -2.876423621253457e-01, 9.004999302923896e-01, -6.538244397460292e-01, -2.137650610887629e-02, -3.051395429689595e-02, -0.000000000000000e+00
18, 9.045084715000000e-01, -2.941222190000000e-01, 9.003925038545890e-01, -6.584673130803972e-01, -2.175969328060497e-02, -2.992623586685850e-02, -0.000000000000000e+00
4879, 8.997215466723489e-01, -3.003709125828684e-01, 9.002854950624820e-01, -6.630921361461938e-01, -2.120639314007955e-02, -2.834305305711807e-02, -0.000000000000000e+00
19, 8.950775266000000e-01, -3.067269920000000e-01, 9.001743472344602e-01, -6.678958445950692e-01, -2.148892037121991e-02, -2.767865868347783e-02, -0.000000000000000e+00
4881, 8.900708847516841e-01, -3.128013824602416e-01, 9.000627826278065e-01, -6.727175658388971e-01, -2.066496584032529e-02, -2.588770853689423e-02, -0.000000000000000e+00
20, 8.852565885000000e-01, -3.190300166000000e-01, 8.999478193358027e-01, -6.776861751850084e-01, -2.082063580506243e-02, -2.514278483096632e-02, -0.000000000000000e+00
5020, 8.800352493578918e-01, -3.249203121466631e-01, 8.998312130601276e-01, -6.827257927971726e-01, -1.971979409641941e-02, -2.317286643891024e-02, -0.000000000000000e+00
21, 8.750556111000000e-01, -3.310172557000000e-01, 8.997124348091352e-01, -6.878592812151636e-01, -1.971281078161050e-02, -2.233546024942920e-02, 0.000000000000000e+00
5024, 8.696256958486133e-01, -3.367147828183794e-01, 8.995902272920385e-01, -6.931409794079372e-01, -1.833759882537870e-02, -2.022246627997851e-02, 0.000000000000000e+00
